,input_queries
2821,join drivers.driverid-results.driverid join results.raceid-races.raceid scan races.year
2822,join drivers.driverid-results.driverid join results.raceid-races.raceid scan races.year
2823,join drivers.driverid-results.driverid join results.raceid-races.raceid scan races.year
2824,join drivers.driverid-results.driverid join results.raceid-races.raceid scan races.year join drivers.surname-drivers.driverid
2825,scan wedding
2826,join wedding.male_id-people.people_id scan wedding.year
2827,join wedding.male_id-people.people_id join wedding.female_id-people.people_id scan wedding.year
2828,scan entrepreneur
2829,scan entrepreneur
2830,scan t1 scan t2
2831,scan participants
2832,scan participants_in_events
2833,join participants.participant_id-participants_in_events.participant_id scan participants.participant_details
2834,join participants.participant_id-participants_in_events.participant_id
2835,scan sportsinfo intersect select stuid
2836,scan sportsinfo
2837,scan artist
2838,scan artist
2839,scan song
2840,scan trip
2841,scan trip
2842,scan trip
2843,scan trip
2844,scan trip
2845,scan products
2846,scan airlines
2847,join genres.id-tracks.genre_id scan genres.name
2848,join genres.id-tracks.genre_id join media_types.id-tracks.media_type_id scan genres.name
2849,join genres.id-tracks.genre_id join media_types.id-tracks.media_type_id scan genres.name
2850,join genres.id-tracks.genre_id join media_types.id-tracks.media_type_id scan genres.name
2851,scan management
2852,join vehicles.vehicle_id-lessons.vehicle_id
2853,scan vehicles
2854,scan lessons
2855,scan t1 scan t2
2856,scan inst
2857,scan inst
2858,scan department
2859,scan course
2860,join course.dept_code-department.dept_code scan department.dept_name
2861,join services.service_id-events.service_id scan events.event_details
2862,join services.service_id-events.service_id scan events.event_details
2863,scan students
2864,scan students
2865,scan students
2866,scan t1 scan t2
2867,join maintenance_engineers.engineer_id-engineer_visits.engineer_id scan maintenance_engineers.first_name
2868,join maintenance_engineers.engineer_id-engineer_visits.engineer_id scan maintenance_engineers.first_name
2869,join maintenance_engineers.engineer_id-engineer_visits.engineer_id scan maintenance_engineers.first_name
2870,scan user_profiles
2871,scan user_profiles order by followers desc limit 1
2872,scan user_profiles order by followers desc limit 1
2873,scan tryout group by ppos order by count ( * )  desc limit 1
2874,scan tryout
2875,scan tryout
2876,join inst.instid-authorship.instid
2877,scan inst
2878,scan inst
2879,scan papers
2880,scan gymnast
2881,scan employees order by commission_pct asc limit 1
2882,scan students
2883,scan behavior_incident
2884,scan behavior_incident
2885,scan students
2886,scan movie
2887,scan faculty
2888,scan faculty
2889,scan faculty
2890,scan student
2891,scan student
2892,scan enroll order by enroll_grade asc limit 1
2893,scan addresses
2894,scan county_public_safety
2895,join papers.paperid-authorship.paperid join authorship.instid-inst.instid scan inst.name
2896,scan authorship
2897,scan country
2898,scan country
2899,join country.country_id-match_season.country scan match_season.position
2900,scan ship
2901,join sportsinfo.stuid-student.stuid scan sportsinfo.onscholarship
2902,join sportsinfo.stuid-student.stuid scan sportsinfo.onscholarship
2903,join sportsinfo.stuid-student.stuid scan sportsinfo.onscholarship
2904,join sportsinfo.stuid-student.stuid scan sportsinfo.onscholarship
2905,join sportsinfo.stuid-student.stuid scan sportsinfo.onscholarship
2906,scan church group by open_date having count ( * )    >=    2
2907,scan church order by open_date desc limit 1
2908,scan church order by open_date desc limit 1
2909,scan research_staff group by employer_organisation_id
2910,scan research_staff
2911,join inst.instid-authorship.instid
2912,join inst.instid-authorship.instid
2913,join inst.instid-authorship.instid join authorship.paperid-papers.paperid scan inst.name
2914,join undergoes.patient-patient.ssn join undergoes.stay-stay.stayid scan stay.room
2915,scan patient
2916,scan undergoes
2917,scan addresses
2918,join documents_with_expenses.budget_type_code-ref_budget_codes.budget_type_code scan ref_budget_codes.budget_type_description
2919,join documents_with_expenses.budget_type_code-ref_budget_codes.budget_type_code scan ref_budget_codes.budget_type_description
2920,join documents_with_expenses.budget_type_code-ref_budget_codes.budget_type_code scan ref_budget_codes.budget_type_description
2921,join documents_with_expenses.budget_type_code-ref_budget_codes.budget_type_code scan ref_budget_codes.budget_type_description
2922,scan documents_with_expenses order by document_id desc limit 1
2923,scan shop
2924,scan shop order by num_of_staff asc limit 1
2925,scan party
2926,scan party
2927,scan party group by party having count ( * )  > 1
2928,scan party
2929,scan assets
2930,scan assets order by asset_acquired_date asc limit 1
2931,scan wrestler
2932,scan wrestler
2933,scan wrestler
2934,scan wrestler group by reign order by count ( * )  desc limit 1
2935,scan employees except select destroyed_by_employee_id
2936,scan employees
2937,scan employees
2938,scan class
2939,scan employee
2940,join employee.emp_num-class.prof_num scan employee.emp_lname
2941,join appellations.appelation-wine.appelation scan wine.price
2942,join appellations.appelation-wine.appelation scan appellations.county
2943,join appellations.appelation-wine.appelation scan appellations.county
2944,join appellations.appelation-wine.appelation scan appellations.county
2945,join appellations.appelation-wine.appelation scan appellations.county
2946,join race.track_id-track.track_id scan track.name
2947,join race.track_id-track.track_id scan track.name
2948,join race.track_id-track.track_id scan track.name
2949,scan journalist
2950,join event.event_id-news_report.event_id
2951,join student.stuid-lives_in.stuid join dorm.dormid-dorm.dorm_name
2952,join student.stuid-lives_in.stuid join dorm.dormid-dorm.dorm_name
2953,join student.stuid-lives_in.stuid join dorm.dormid-dorm.dorm_name
2954,scan student
2955,scan swimmer
2956,scan manufacturers
2957,scan tryout
2958,scan projects
2959,join accounts.custid-checking.custid
2960,join accounts.custid-checking.custid
2961,scan checking
2962,scan products_for_hire
2963,scan products_for_hire
2964,scan products_for_hire
2965,scan tourist_attractions
2966,scan people
2967,scan airports
2968,scan airports
2969,scan movie
2970,scan movie
2971,scan movie
2972,scan movie
2973,scan roller_coaster
2974,scan roller_coaster
2975,scan roller_coaster
2976,scan roller_coaster
2977,scan ref_shipping_agents
2978,scan documents group by shipping_agent_code
2979,scan employees
2980,scan documents_to_be_destroyed
2981,scan documents_to_be_destroyed
2982,scan employees except select destruction_authorised_by_employee_id
2983,scan employees except select destruction_authorised_by_employee_id
2984,scan sportsinfo
2985,scan sportsinfo
2986,scan sportsinfo
2987,scan aircraft
2988,join aircraft.aircraft_id-match.winning_aircraft
2989,scan has_allergy
2990,scan nomination
2991,join nomination.artwork_id-artwork.artwork_id join nomination.festival_id-festival_detail.festival_id
2992,join nomination.artwork_id-artwork.artwork_id join nomination.festival_id-festival_detail.festival_id
2993,scan products
2994,scan products
2995,scan district
2996,scan district
2997,join store.store_id-store_district.store_id join store_district.district_id-district.district_id scan district.district_id
2998,scan apartments
2999,scan apartments
3000,scan apartments
3001,scan apartments
3002,scan flight
3003,scan flight
3004,scan flight
3005,scan flight
3006,scan shipments
3007,scan orders
3008,join orders.order_id-shipments.order_id scan shipments.invoice_number
3009,scan book
3010,scan stay
3011,scan stay
3012,scan stay
3013,scan products
3014,scan products
3015,scan products
3016,scan products
3017,join papers.paperid-authorship.paperid join authorship.instid-inst.instid scan inst.name
3018,scan authorship group  by authid
3019,scan course
3020,scan course
3021,scan events
3022,scan mailshot_customers
3023,scan parts
3024,scan parts
3025,scan parts
3026,scan parts order by chargeable_amount asc limit 1
3027,scan savings
3028,scan savings
3029,scan accounts
3030,scan church order by open_date desc limit 3
3031,scan church order by open_date asc limit 3
3032,scan church order by open_date asc limit 3
3033,scan broadcast
3034,join channel.channel_id-broadcast.channel_id scan broadcast.time_of_day
3035,join channel.channel_id-broadcast.channel_id scan broadcast.time_of_day
3036,scan employees group by department_id having count ( * )    >=    2
3037,scan employees order by salary desc limit 1
3038,scan captain order by age desc limit 1
3039,scan captain order by age limit 1
3040,scan classroom
3041,scan classroom
3042,scan classroom
3043,scan classroom
3044,scan patient
3045,join stay.patient-patient.ssn join prescribes.patient-patient.ssn join prescribes.medication-medication.code
3046,join stay.patient-patient.ssn join prescribes.patient-patient.ssn join prescribes.medication-medication.code
3047,join courses.course_id-student_course_attendance.course_id
3048,join courses.course_id-student_course_attendance.course_id
3049,join courses.course_id-student_course_attendance.course_id scan student_course_attendance.student_id
3050,scan company
3051,scan company order by assets_billion desc limit 1
3052,scan company
3053,scan postseason
3054,scan student
3055,scan student
3056,scan student
3057,scan student
3058,scan student
3059,scan wine order by price desc limit 1
3060,scan wine order by score desc limit 1
3061,scan wine order by cases desc limit 1
3062,scan wine order by cases asc limit 1
3063,scan payment order by amount desc limit 1
3064,scan payment order by amount desc limit 1
3065,scan payment
3066,scan employee
3067,scan employee order by salary asc limit 3
3068,scan employee
3069,scan cmi_cross_references
3070,join cmi_cross_references.cmi_cross_ref_id-parking_fines.cmi_cross_ref_id
3071,scan cmi_cross_references
3072,scan employees
3073,scan employees
3074,scan party group by party having count ( * )    >=    2
3075,scan party
3076,scan party
3077,join authorship.paperid-papers.paperid scan authorship.authorder
3078,scan authorship
3079,join authorship.paperid-papers.paperid scan authorship.authorder
3080,scan authorship group by paperid
3081,scan church
3082,join church.church_id-wedding.church_id scan wedding.year
3083,scan people
3084,scan customers
3085,scan hosting_city order by year desc limit 1
3086,scan hosting_city
3087,scan hosting_city
3088,join residents.resident_id-residents.resident_id
3089,scan residents
3090,scan festival_detail
3091,scan festival_detail
3092,scan trip
3093,scan event
3094,scan stadium
3095,scan technician
3096,scan technician
3097,scan technician
3098,scan grapes
3099,join grapes.grape-wine.grape scan grapes.color
3100,join grapes.grape-wine.grape scan grapes.color
3101,join grapes.grape-wine.grape scan grapes.color
3102,join grapes.grape-wine.grape scan grapes.color
3103,scan phone_market order by num_of_stock desc limit 1
3104,scan customers
3105,scan customers
3106,scan customers
3107,scan customers
3108,scan document_locations group by location_code order by count ( * )  desc limit 1
3109,scan document_locations
3110,scan document_locations group by location_code order by count ( * )  limit 1
3111,scan airports
3112,scan courses
3113,scan student_course_attendance
3114,join courses.course_id-student_course_attendance.course_id scan courses.course_name
3115,scan catalogs
3116,scan catalogs
3117,scan catalogs
3118,scan catalogs
3119,scan catalogs
3120,scan catalogs
3121,scan song
3122,scan song
3123,scan song
3124,scan products
3125,scan ref_product_categories
3126,scan products
3127,scan products
3128,scan party_events
3129,scan party_events
3130,scan t1 scan t2
3131,join fault_log.fault_log_entry_id-engineer_visits.fault_log_entry_id scan engineer_visits.fault_log_entry_id
3132,join fault_log.fault_log_entry_id-engineer_visits.fault_log_entry_id scan engineer_visits.fault_log_entry_id
3133,join fault_log.fault_log_entry_id-engineer_visits.fault_log_entry_id scan engineer_visits.fault_log_entry_id
3134,scan t1 scan t2
3135,scan t1 scan t2
3136,scan document_sections
3137,scan document_sections
3138,join cmi_cross_references.cmi_cross_ref_id-benefits_overpayments.cmi_cross_ref_id
3139,join cmi_cross_references.cmi_cross_ref_id-benefits_overpayments.cmi_cross_ref_id
3140,join cmi_cross_references.cmi_cross_ref_id-benefits_overpayments.council_tax_id
3141,scan cmi_cross_references
3142,scan wine
3143,scan wine
3144,scan wine
3145,scan wine
3146,scan district
3147,scan district
3148,scan district order by city_area asc limit 1
3149,scan t1 scan t2
3150,scan member_of_club
3151,scan city
3152,join member.member_id-purchase.member_id
3153,scan bank
3154,join bank.branch_id-bank.bname
3155,scan country
3156,join roller_coaster.country_id-country.country_id scan roller_coaster.length
3157,scan roller_coaster
3158,scan roller_coaster order by speed desc limit 1
3159,scan products
3160,join institution.institution_id-institution.institution_id
3161,scan protein
3162,scan protein
3163,scan protein order by  sequence_identity_to_human_protein desc limit 1
3164,scan accounts
3165,scan checking
3166,scan savings
3167,scan t1 scan t2
3168,join accounts.custid-checking.custid
3169,scan station
3170,scan t1 scan t2
3171,scan delivery_route_locations
3172,scan delivery_routes
3173,scan student
3174,scan sportsinfo
3175,scan student
3176,scan tracks
3177,join tracks.id-playlist_tracks.track_id join playlist_tracks.playlist_id-playlists.id scan playlists.name
3178,scan driver
3179,scan driver
3180,scan film
3181,scan student_course_registrations
3182,scan student_course_registrations
3183,scan student_course_registrations group by student_id  having count ( * )   =  1
3184,scan tryout
3185,join player.team-team.team_id scan team.name
3186,scan player
3187,scan student_addresses order by monthly_rental desc limit 1
3188,scan broadcast
3189,scan channel
3190,scan channel
3191,scan channel
3192,scan status
3193,scan station
3194,scan region
3195,join affected_region.region_id-region.region_id join affected_region.storm_id-storm.storm_id scan region.region_name
3196,join affected_region.region_id-region.region_id join affected_region.storm_id-storm.storm_id scan region.region_name
3197,scan farm
3198,scan farm
3199,scan farm
3200,scan farm
3201,scan competition except select country
3202,scan bank
3203,scan bank
3204,scan bank group by state order by sum ( no_of_customers )  desc limit 1
3205,scan swimmer
3206,join swimmer.id-record.swimmer_id
3207,scan movie
3208,scan movie
3209,scan checking
3210,scan savings
3211,join accounts.custid-checking.custid scan checking.balance
3212,scan match
3213,scan pilot
3214,scan t1 scan t2
3215,scan t1 scan t2
3216,scan t1 scan t2
3217,join storm.storm_id-affected_region.storm_id scan storm.name
3218,scan storm
3219,join storm.storm_id-affected_region.storm_id
3220,scan t1 scan t2
3221,join circulation_history.employee_id-circulation_history.document_id
3222,scan apartments
3223,scan apartments
3224,scan apartments order by room_count desc limit 1
3225,scan apartments
3226,scan claims_processing
3227,scan shipments
3228,scan shipments
3229,scan orders
3230,scan phone group by company_name having count ( * )   >  1
3231,scan phone group by company_name having count ( * )    =   1
3232,scan phone
3233,scan phone
3234,scan bank
3235,join bank.branch_id-loan.branch_id scan loan.loan_type
3236,join bank.branch_id-loan.branch_id scan loan.loan_type
3237,join inst.instid-authorship.instid
3238,join inst.instid-authorship.instid
3239,join inst.instid-authorship.instid
3240,scan game
3241,scan injury_accident
3242,scan t1 scan t2
3243,scan student
3244,join student.stuid-voting_record.stuid scan voting_record.president_vote
3245,join student.stuid-voting_record.stuid scan voting_record.vice_president_vote
3246,scan student
3247,scan student
3248,scan customer_master_index
3249,join customer_master_index.master_customer_id-cmi_cross_references.master_customer_id
3250,join customer_master_index.master_customer_id-cmi_cross_references.master_customer_id scan customer_master_index.cmi_details
3251,scan browser
3252,scan browser
3253,scan browser
3254,scan browser
3255,scan company
3256,scan company
3257,scan company
3258,scan company
3259,scan albums
3260,scan phone
3261,scan chip_model
3262,scan chip_model except select chip_model
3263,scan chip_model except select chip_model
3264,scan member
3265,scan member
3266,scan membership_register_branch
3267,scan has_allergy group by allergy order by count ( * )  desc limit 1
3268,scan has_allergy
3269,scan has_allergy
3270,scan transactions
3271,scan transactions
3272,scan transactions
3273,scan manufacturers
3274,scan manufacturers
3275,scan manufacturers
3276,scan employees
3277,scan documents_to_be_destroyed
3278,scan employees
3279,join university.school_id-basketball_match.school_id
3280,join university.school_id-basketball_match.school_id
3281,join university.school_id-basketball_match.school_id
3282,join university.school_id-basketball_match.school_id
3283,join university.school_id-basketball_match.school_id
3284,scan addresses
3285,scan addresses
3286,join election.party-party.party_id scan party.party
3287,join election.party-party.party_id scan party.party
3288,join election.party-party.party_id scan party.party
3289,scan loan
3290,join faculty_participates_in.facid-faculty.facid
3291,join faculty_participates_in.facid-faculty.facid scan faculty.lname scan faculty.fname
3292,scan faculty
3293,scan faculty_participates_in
3294,scan faculty
3295,scan match_season
3296,scan match_season
3297,scan match_season
3298,join third_party_companies.company_id-third_party_companies.company_id
3299,scan assets
3300,scan third_party_companies
3301,scan student group by major order by count ( * )  desc limit 1
3302,scan student group by major order by count ( * )  desc limit 1
3303,scan student
3304,scan student
3305,scan student
3306,scan documents
3307,scan documents_with_expenses
3308,scan documents
3309,scan documents_with_expenses
3310,scan company group by headquarters having count ( * )   >=   2
3311,scan company
3312,scan projects whereproject_id = 1
3313,scan projects
3314,scan department group by school_code having count ( distinct dept_name )   <  5
3315,scan department
3316,scan song
3317,scan song
3318,scan song
3319,scan song
3320,scan t1 scan t2
3321,join people.people_id-candidate.people_id scan people.name
3322,join people.people_id-candidate.people_id scan people.name
3323,scan accounts order by account_details desc limit 1
3324,scan accounts
3325,scan accounts
3326,scan accounts
3327,scan accounts
3328,scan assignedto
3329,scan screen_mode
3330,scan screen_mode
3331,scan phone
3332,scan phone
3333,scan products
3334,scan products
3335,scan products
3336,join parts.part_id-part_faults.part_id
3337,join parts.part_id-part_faults.part_id
3338,join parts.part_id-part_faults.part_id
3339,scan track
3340,scan track
3341,scan track
3342,scan track
3343,scan member
3344,join courses.subject_id-subjects.subject_id scan subjects.subject_name
3345,join courses.subject_id-subjects.subject_id scan subjects.subject_name
3346,join courses.subject_id-subjects.subject_id scan subjects.subject_name
3347,scan county_public_safety
3348,scan county_public_safety
3349,scan county_public_safety
3350,scan county_public_safety
3351,scan district order by city_population desc limit 1
3352,scan district order by city_population desc limit 1
3353,scan district order by city_population desc limit 1
3354,scan district
3355,scan district
3356,join files.f_id-song.genre_is
3357,scan song
3358,scan song
3359,scan mill group by type order by count ( * )  desc limit 1
3360,scan mill group by type order by count ( * )  desc limit 1
3361,scan mill
3362,scan exhibition
3363,scan exhibition order by ticket_price desc limit 1
3364,scan faculty
3365,scan faculty
3366,scan faculty
3367,scan sportsinfo group by stuid having sum ( hoursperweek )  > 10
3368,scan sportsinfo
3369,scan sportsinfo
3370,scan sportsinfo
3371,scan sportsinfo
3372,scan sportsinfo
3373,scan sportsinfo
3374,scan tourist_attractions
3375,scan tourist_attractions
3376,scan restaurant
3377,scan restaurant
3378,scan restaurant
3379,scan institution
3380,join building.building_id-institution.building_id scan institution.founded
3381,join building.building_id-institution.building_id scan institution.founded
3382,scan student
3383,scan student
3384,scan student
3385,scan tracks
3386,scan tracks
3387,scan tracks
3388,scan book
3389,scan country
3390,scan match_season
3391,scan match_season
3392,join match_season.country-country.country_id scan country.country_name
3393,scan class
3394,scan class
3395,scan class group by class_room having count ( * )    >=    2
3396,scan film_market_estimation  order by year desc
3397,join film_market_estimation.market_id-market.market_id scan market.country
3398,join film_market_estimation.market_id-market.market_id scan market.country
3399,scan elimination
3400,scan elimination
3401,scan elimination
3402,scan elimination
3403,scan elimination
3404,scan elimination
3405,scan t1 scan t2
3406,scan t1 scan t2
3407,join documents.shipping_agent_code-ref_shipping_agents.shipping_agent_code scan ref_shipping_agents.shipping_agent_name
3408,scan transactions group by transaction_type_code order by count ( * )  desc limit 1
3409,scan transactions group by transaction_type_code order by count ( * )   limit 1
3410,scan transactions
3411,scan transactions
3412,scan transactions
3413,scan plays_games
3414,scan sportsinfo
3415,scan sportsinfo intersect select stuid
3416,scan roller_coaster order by speed desc limit 1
3417,scan roller_coaster order by speed desc limit 1
3418,scan roller_coaster order by speed desc limit 1
3419,scan roller_coaster group by status having count ( * )   >  2
3420,scan services
3421,scan instructor
3422,scan savings
3423,scan checking
3424,join accounts.custid-checking.custid
3425,join accounts.custid-checking.custid join accounts.custid-savings.custid scan accounts.name
3426,scan county
3427,scan county order by population asc limit 1
3428,scan county
3429,scan county order by population desc limit 1
3430,scan county order by population desc limit 1
3431,scan manufacturers order by revenue desc limit 1
3432,scan manufacturers
3433,scan manufacturers
3434,scan manufacturers order by revenue desc limit 1
3435,scan invoices
3436,scan invoices
3437,scan invoices
3438,scan student
3439,scan student
3440,scan student
3441,scan store
3442,scan district
3443,scan wine
3444,scan wine
3445,scan wine
3446,scan trip
3447,scan trip
3448,scan basketball_match
3449,scan basketball_match order by acc_percent limit 1
3450,scan basketball_match order by acc_percent desc limit 1
3451,scan documents
3452,scan documents
3453,scan technician
3454,scan repair_assignment
3455,scan technician
3456,scan technician
3457,scan documents
3458,scan statements
3459,scan documents
3460,join statements.statement_id-documents.document_id scan statements.statement_details
3461,join behavior_incident.student_id-students.student_id scan students.last_name
3462,join behavior_incident.student_id-students.student_id scan students.last_name
3463,scan students
3464,join behavior_incident.student_id-students.student_id scan students.last_name
3465,scan player
3466,scan t1 scan t2
3467,scan t1 scan t2
3468,join people.people_id-perpetrator.people_id scan people.height
3469,join people.people_id-perpetrator.people_id scan people.height
3470,join people.people_id-perpetrator.people_id scan people.height
3471,scan perpetrator order by date asc limit 1
3472,scan perpetrator order by date desc limit 1
3473,scan perpetrator group by country order by sum ( killed ) +sum ( injured )  desc limit 1
3474,join addresses.address_id-teachers.address_id scan teachers.first_name
3475,scan teachers
3476,scan professor
3477,join professor.dept_code-department.dept_code
3478,scan prereq
3479,scan prereq group by course_id having count ( * )   >  1
3480,scan phone
3481,scan phone
3482,scan phone
3483,scan phone
3484,scan track
3485,scan track
3486,join station.id-route.station_id
3487,scan station
3488,scan station
3489,scan staff_department_assignments
3490,join staff.staff_id-staff_department_assignments.staff_id scan staff_department_assignments.job_title_code
3491,scan t1 scan t2
3492,scan students
3493,scan students
3494,scan students
3495,scan students
3496,scan students
3497,scan drivers
3498,scan t1 scan t2
3499,scan drivers
3500,scan genres order by id desc limit 5
3501,scan t1 scan t2
3502,scan tracks order by milliseconds
3503,scan airports
3504,scan captain order by age desc limit 1
3505,scan captain
3506,scan captain
3507,scan captain
3508,scan voting_record.election_cycle
3509,scan student.sex scan voting_record.election_cycle
3510,scan voting_record.election_cycle
3511,scan course
3512,scan inventory
3513,scan people group by birth_place having count ( * )    >=    2
3514,scan people order by weight desc limit 1
3515,scan people order by weight asc limit 1
3516,scan wine
3517,scan appellations
3518,scan appellations
3519,scan wine
3520,scan station
3521,scan station
3522,scan station
3523,scan faculty
3524,scan faculty
3525,scan faculty
3526,scan region
3527,scan region
3528,join region.region_id-affected_region.region_id scan region.region_name
3529,scan apartments
3530,scan apartments
3531,scan apartments
3532,scan customers
3533,scan complaints group by customer_id
3534,scan complaints group by product_id order by count ( * )  desc limit 1
3535,join student.stuid-voting_record.president_vote scan student.sex
3536,join student.stuid-voting_record.president_vote scan student.sex
3537,join student.stuid-voting_record.president_vote scan student.sex
3538,join student.stuid-voting_record.president_vote scan student.sex
3539,join student.stuid-voting_record.president_vote scan student.sex
3540,scan projects
3541,scan projects
3542,scan competition
3543,scan competition group by competition_type having count ( * )    >=    5
3544,scan competition group by competition_type having count ( * )   <=   5
3545,scan order_items order by order_quantity limit 1
3546,join visitors.tourist_id-visits.tourist_id scan visitors.tourist_details
3547,join visitors.tourist_id-visits.tourist_id scan visitors.tourist_details
3548,join visitors.tourist_id-visits.tourist_id scan visitors.tourist_details
3549,scan order_items group by product_id order by count ( * )  desc limit 1
3550,scan order_items group by product_id order by count ( * )  limit 1
3551,scan order_items group by product_id having product_id  =  '2'
3552,scan order_items group by product_id having product_id  =  '13'
3553,scan customers
3554,scan airport
3555,scan airport
3556,scan airport
3557,scan airport
3558,join news_report.event_id-event.event_id join news_report.journalist_id-journalist.name
3559,join news_report.event_id-event.event_id join news_report.journalist_id-journalist.journalist_id scan journalist.age
3560,join artist.artist_name-song.artist_name scan artist.artist_name
3561,scan list group by classroom order by count ( * )  desc limit 1
3562,join faculty.facid-student.advisor scan faculty.rank
3563,join faculty.facid-student.advisor scan faculty.rank
3564,scan procedures order by cost desc limit 1
3565,join physician.employeeid-trained_in.physician join procedures.code-trained_in.treatment scan procedures.name
3566,join physician.employeeid-trained_in.physician join procedures.code-trained_in.treatment scan procedures.name
3567,join physician.employeeid-trained_in.physician join procedures.code-trained_in.treatment scan procedures.name
3568,scan representative group by state having count ( * )    >=    2
3569,scan representative
3570,scan representative
3571,scan papers
3572,join authorship.paperid-papers.paperid scan authorship.authorder
3573,join authorship.paperid-papers.paperid scan authorship.authorder
3574,scan products order by product_price limit 1
3575,scan dorm
3576,scan dorm order by student_capacity desc limit 1
3577,scan dorm order by student_capacity asc limit 1
3578,scan dorm
3579,scan dorm order by student_capacity asc limit 1
3580,scan t1 scan t2
3581,join courses.course_id-student_course_enrolment.course_id
3582,scan t1 scan t2
3583,join courses.course_id-student_course_enrolment.course_id
3584,join courses.course_id-student_course_enrolment.course_id
3585,scan user_profiles order by followers limit 1
3586,scan company group by headquarters order by count ( * )  desc limit 1
3587,scan county_public_safety
3588,scan county_public_safety
3589,scan county_public_safety
3590,scan county_public_safety
3591,scan storm
3592,scan storm
3593,scan storm
3594,join problems.product_id-product.product_id
3595,join problems.product_id-product.product_id
3596,join problems.product_id-product.product_id
3597,join news_report.event_id-event.event_id
3598,scan journalist
3599,scan journalist
3600,scan policies
3601,scan policies
3602,scan policies
3603,scan branch
3604,scan branch
3605,scan complaints order by date_complaint_raised desc limit 1
3606,scan complaints
3607,scan complaints
3608,scan restaurant
3609,scan restaurant
3610,scan restaurant
3611,scan courses
3612,join courses.course_id-courses.course_name
3613,join reservations.room-rooms.roomid scan rooms.roomid
3614,scan rooms
3615,join reservations.room-rooms.roomid scan rooms.roomid
3616,scan company
3617,scan reservations
3618,scan reservations
3619,scan reservations
3620,scan reservations
3621,scan stadium
3622,scan stadium
3623,scan medicine
3624,join medicine.id-medicine_enzyme_interaction.medicine_id
3625,scan body_builder
3626,join body_builder.people_id-people.people_id
3627,join body_builder.people_id-people.people_id scan body_builder.total
3628,scan artist
3629,scan song
3630,scan song
3631,scan song
3632,scan song
3633,scan railway group by builder order by count ( * )  desc limit 1
3634,scan manufacturers order by revenue desc limit 1
3635,scan manufacturers
3636,scan manufacturers
3637,scan manufacturers
3638,scan manufacturers
3639,scan manufacturers
3640,join parts.part_id-parts.part_name
3641,join campuses.id-degrees.campus
3642,join campuses.id-degrees.campus scan campuses.county
3643,join campuses.id-degrees.campus scan campuses.county join degrees.year-campuses.campus
3644,scan project_outcomes
3645,scan research_outcomes
3646,scan projects
3647,scan project_outcomes
3648,join projects.project_id-project_outcomes.project_id join project_outcomes.outcome_code-research_outcomes.outcome_code scan research_outcomes.outcome_description
3649,join department.dept_code-course.dept_code
3650,join department.dept_code-course.dept_code
3651,join department.dept_code-course.dept_code
3652,join department.dept_code-course.dept_code
3653,join department.dept_code-course.dept_code
3654,scan event
3655,scan stadium
3656,scan rating
3657,scan rating
3658,scan rating
3659,scan rating
3660,scan rating
3661,scan products
3662,scan people
3663,scan people
3664,scan products
3665,scan products
3666,scan apartments
3667,scan apartments
3668,scan mission
3669,scan institution group by type order by count ( * )  limit 1
3670,scan institution group by type order by count ( * )  desc limit 1
3671,scan institution order by founded limit 1
3672,scan drivers
3673,scan drivers
3674,scan drivers group by nationality order by count ( * )  desc limit 1
3675,join drivers.driverid-results.driverid scan drivers.nationality
3676,scan airport order by international_passengers desc limit 1
3677,scan airport order by international_passengers desc limit 1
3678,scan airport order by international_passengers desc limit 1
3679,scan company
3680,scan company
3681,scan company
3682,scan player
3683,scan customers
3684,join apartment_facilities.apt_id-apartments.apt_id scan apartment_facilities.facility_code
3685,join apartment_facilities.apt_id-apartments.apt_id scan apartment_facilities.facility_code
3686,join apartment_facilities.apt_id-apartments.apt_id scan apartment_facilities.facility_code
3687,scan artist
3688,scan artist
3689,scan artist
3690,scan artist
3691,scan artist
3692,scan artist group by preferred_genre order by count ( * )  desc limit 1
3693,scan transactions
3694,scan transactions
3695,scan transactions
3696,scan assignedto group by scientist having count ( project ) >1
3697,scan employees group by department_id having count ( commission_pct )  > 10
3698,scan races
3699,scan races
3700,join races.raceid-results.raceid scan races.year scan races.name
3701,scan tryout
3702,scan tryout group by cname
3703,scan tryout group by cname order by count ( * )  desc
3704,scan member_attendance
3705,scan member
3706,scan genre
3707,scan student_course_attendance
3708,scan student_course_attendance
3709,scan student_course_attendance
3710,scan checking
3711,scan accounts
3712,scan savings
3713,join accounts.custid-checking.custid join accounts.custid-savings.custid scan accounts.name
3714,scan employees
3715,scan circulation_history
3716,join employees.employee_id-circulation_history.employee_id scan circulation_history.document_id
3717,scan journalist order by years_working desc limit 1
3718,scan journalistwhere journalist_id not in  ( select journalist_id
3719,scan journalist
3720,scan journalist
3721,scan journalist
3722,scan journalist
3723,scan journalist order byyears_working limit 1
3724,scan employee except select aid
3725,scan institution
3726,scan building
3727,scan building
3728,scan institution
3729,scan institution
3730,scan addresses
3731,scan addresses
3732,scan addresses
3733,scan addresses
3734,scan department
3735,scan browser
3736,scan browser
3737,scan browser
3738,scan architect
3739,scan architect
3740,scan mill
3741,scan mill
3742,scan t1 scan t2
3743,scan t1 scan t2
3744,scan university
3745,scan university
3746,scan university
3747,scan products order by product_price desc limit 1
3748,scan products order by product_price desc limit 1
3749,scan products order by product_price limit 1
3750,scan customers
3751,scan architect
3752,scan architect
